geography_index,geography,geography_name,variable,marginal,person_or_household,year
6,taz,6,hh_size_1_gq,1678,NA,2015
7,taz,7,TOTHH,3203,NA,2015
7,taz,7,TOTPOP,5010,NA,2015
7,taz,7,hh_size_1,2274,NA,2015
7,taz,7,hh_size_2,721,NA,2015
7,taz,7,hh_size_3,142,NA,2015
7,taz,7,hh_size_4_plus,66,NA,2015
7,taz,7,hh_wrks_0,1146,NA,2015
7,taz,7,hh_wrks_1,1539,NA,2015
7,taz,7,hh_wrks_2,409,NA,2015
7,taz,7,hh_wrks_3_plus,109,NA,2015
7,taz,7,hh_kids_no,2997,NA,2015
7,taz,7,hh_kids_yes,206,NA,2015
7,taz,7,HHINCQ1,2072,NA,2015
7,taz,7,HHINCQ2,593,NA,2015
7,taz,7,HHINCQ3,395,NA,2015
7,taz,7,HHINCQ4,143,NA,2015
7,taz,7,AGE0004,119,NA,2015
7,taz,7,AGE0519,260,NA,2015
7,taz,7,AGE2044,2515,NA,2015
7,taz,7,AGE4564,1512,NA,2015
7,taz,7,AGE65P,604,NA,2015
7,taz,7,gq_tot_pop,379,NA,2015
7,taz,7,gq_type_univ,167,NA,2015
7,taz,7,gq_type_mil,0,NA,2015
7,taz,7,gq_type_othnon,212,NA,2015
7,taz,7,numhh_gq,3582,NA,2015
7,taz,7,hh_size_1_gq,2653,NA,2015
8,taz,8,TOTHH,4477,NA,2015
8,taz,8,TOTPOP,8626,NA,2015
8,taz,8,hh_size_1,3116,NA,2015
8,taz,8,hh_size_2,811,NA,2015
8,taz,8,hh_size_3,363,NA,2015
8,taz,8,hh_size_4_plus,187,NA,2015
8,taz,8,hh_wrks_0,2263,NA,2015
8,taz,8,hh_wrks_1,1492,NA,2015
8,taz,8,hh_wrks_2,547,NA,2015
8,taz,8,hh_wrks_3_plus,175,NA,2015
8,taz,8,hh_kids_no,4100,NA,2015
8,taz,8,hh_kids_yes,377,NA,2015
8,taz,8,HHINCQ1,3623,NA,2015
8,taz,8,HHINCQ2,529,NA,2015
8,taz,8,HHINCQ3,224,NA,2015
8,taz,8,HHINCQ4,101,NA,2015
8,taz,8,AGE0004,176,NA,2015
8,taz,8,AGE0519,666,NA,2015
8,taz,8,AGE2044,2478,NA,2015
8,taz,8,AGE4564,3087,NA,2015
8,taz,8,AGE65P,2219,NA,2015
8,taz,8,gq_tot_pop,1718,NA,2015
8,taz,8,gq_type_univ,59,NA,2015
8,taz,8,gq_type_mil,0,NA,2015
8,taz,8,gq_type_othnon,1659,NA,2015
8,taz,8,numhh_gq,6195,NA,2015
8,taz,8,hh_size_1_gq,4834,NA,2015
9,taz,9,TOTHH,5197,NA,2015
9,taz,9,TOTPOP,9050,NA,2015
9,taz,9,hh_size_1,3370,NA,2015
9,taz,9,hh_size_2,1276,NA,2015
9,taz,9,hh_size_3,243,NA,2015
9,taz,9,hh_size_4_plus,308,NA,2015
9,taz,9,hh_wrks_0,1441,NA,2015
9,taz,9,hh_wrks_1,2461,NA,2015
9,taz,9,hh_wrks_2,1159,NA,2015
9,taz,9,hh_wrks_3_plus,136,NA,2015
9,taz,9,hh_kids_no,4724,NA,2015
9,taz,9,hh_kids_yes,473,NA,2015
9,taz,9,HHINCQ1,3103,NA,2015
9,taz,9,HHINCQ2,950,NA,2015
9,taz,9,HHINCQ3,597,NA,2015
9,taz,9,HHINCQ4,547,NA,2015
9,taz,9,AGE0004,483,NA,2015
9,taz,9,AGE0519,586,NA,2015
9,taz,9,AGE2044,4556,NA,2015
9,taz,9,AGE4564,2558,NA,2015
9,taz,9,AGE65P,867,NA,2015
9,taz,9,gq_tot_pop,545,NA,2015
9,taz,9,gq_type_univ,306,NA,2015
9,taz,9,gq_type_mil,0,NA,2015
9,taz,9,gq_type_othnon,239,NA,2015
9,taz,9,numhh_gq,5742,NA,2015
9,taz,9,hh_size_1_gq,3915,NA,2015
10,taz,10,TOTHH,2416,NA,2015
10,taz,10,TOTPOP,4325,NA,2015
10,taz,10,hh_size_1,1391,NA,2015
10,taz,10,hh_size_2,535,NA,2015
10,taz,10,hh_size_3,425,NA,2015
10,taz,10,hh_size_4_plus,65,NA,2015
10,taz,10,hh_wrks_0,657,NA,2015
10,taz,10,hh_wrks_1,1081,NA,2015
10,taz,10,hh_wrks_2,503,NA,2015
10,taz,10,hh_wrks_3_plus,175,NA,2015
10,taz,10,hh_kids_no,2137,NA,2015
10,taz,10,hh_kids_yes,279,NA,2015
10,taz,10,HHINCQ1,1062,NA,2015
10,taz,10,HHINCQ2,236,NA,2015
10,taz,10,HHINCQ3,519,NA,2015
10,taz,10,HHINCQ4,599,NA,2015
10,taz,10,AGE0004,0,NA,2015
10,taz,10,AGE0519,278,NA,2015
10,taz,10,AGE2044,2572,NA,2015
10,taz,10,AGE4564,835,NA,2015
10,taz,10,AGE65P,640,NA,2015
10,taz,10,gq_tot_pop,96,NA,2015
10,taz,10,gq_type_univ,0,NA,2015
10,taz,10,gq_type_mil,0,NA,2015
10,taz,10,gq_type_othnon,96,NA,2015
10,taz,10,numhh_gq,2512,NA,2015
10,taz,10,hh_size_1_gq,1487,NA,2015
11,taz,11,TOTHH,2370,NA,2015
11,taz,11,TOTPOP,4155,NA,2015
11,taz,11,hh_size_1,1646,NA,2015
11,taz,11,hh_size_2,355,NA,2015
11,taz,11,hh_size_3,80,NA,2015
11,taz,11,hh_size_4_plus,289,NA,2015
11,taz,11,hh_wrks_0,645,NA,2015
11,taz,11,hh_wrks_1,1059,NA,2015
11,taz,11,hh_wrks_2,494,NA,2015
11,taz,11,hh_wrks_3_plus,172,NA,2015
11,taz,11,hh_kids_no,2096,NA,2015
11,taz,11,hh_kids_yes,274,NA,2015
11,taz,11,HHINCQ1,1386,NA,2015
11,taz,11,HHINCQ2,472,NA,2015
11,taz,11,HHINCQ3,269,NA,2015
11,taz,11,HHINCQ4,243,NA,2015
11,taz,11,AGE0004,35,NA,2015
11,taz,11,AGE0519,563,NA,2015
11,taz,11,AGE2044,1356,NA,2015
11,taz,11,AGE4564,1889,NA,2015
11,taz,11,AGE65P,312,NA,2015
11,taz,11,gq_tot_pop,117,NA,2015
11,taz,11,gq_type_univ,0,NA,2015
11,taz,11,gq_type_mil,0,NA,2015
11,taz,11,gq_type_othnon,117,NA,2015
11,taz,11,numhh_gq,2487,NA,2015
11,taz,11,hh_size_1_gq,1763,NA,2015
12,taz,12,TOTHH,858,NA,2015
12,taz,12,TOTPOP,1236,NA,2015
12,taz,12,hh_size_1,612,NA,2015
12,taz,12,hh_size_2,214,NA,2015
12,taz,12,hh_size_3,32,NA,2015
12,taz,12,hh_size_4_plus,0,NA,2015
12,taz,12,hh_wrks_0,105,NA,2015
12,taz,12,hh_wrks_1,459,NA,2015
12,taz,12,hh_wrks_2,268,NA,2015
12,taz,12,hh_wrks_3_plus,26,NA,2015
12,taz,12,hh_kids_no,752,NA,2015
12,taz,12,hh_kids_yes,106,NA,2015
12,taz,12,HHINCQ1,85,NA,2015
12,taz,12,HHINCQ2,0,NA,2015
12,taz,12,HHINCQ3,272,NA,2015
12,taz,12,HHINCQ4,501,NA,2015
12,taz,12,AGE0004,0,NA,2015
12,taz,12,AGE0519,0,NA,2015
12,taz,12,AGE2044,695,NA,2015
12,taz,12,AGE4564,435,NA,2015
12,taz,12,AGE65P,106,NA,2015
12,taz,12,gq_tot_pop,54,NA,2015
12,taz,12,gq_type_univ,12,NA,2015
12,taz,12,gq_type_mil,0,NA,2015
12,taz,12,gq_type_othnon,42,NA,2015
12,taz,12,numhh_gq,912,NA,2015
12,taz,12,hh_size_1_gq,666,NA,2015
13,taz,13,TOTHH,10,NA,2015
13,taz,13,TOTPOP,14,NA,2015
13,taz,13,hh_size_1,8,NA,2015
13,taz,13,hh_size_2,2,NA,2015
13,taz,13,hh_size_3,0,NA,2015
13,taz,13,hh_size_4_plus,0,NA,2015
13,taz,13,hh_wrks_0,1,NA,2015
13,taz,13,hh_wrks_1,6,NA,2015
13,taz,13,hh_wrks_2,3,NA,2015
13,taz,13,hh_wrks_3_plus,0,NA,2015
13,taz,13,hh_kids_no,9,NA,2015
13,taz,13,hh_kids_yes,1,NA,2015
13,taz,13,HHINCQ1,1,NA,2015
13,taz,13,HHINCQ2,0,NA,2015
13,taz,13,HHINCQ3,3,NA,2015
13,taz,13,HHINCQ4,6,NA,2015
13,taz,13,AGE0004,0,NA,2015
13,taz,13,AGE0519,0,NA,2015
13,taz,13,AGE2044,8,NA,2015
13,taz,13,AGE4564,5,NA,2015
13,taz,13,AGE65P,1,NA,2015
13,taz,13,gq_tot_pop,1,NA,2015
13,taz,13,gq_type_univ,0,NA,2015
13,taz,13,gq_type_mil,0,NA,2015
13,taz,13,gq_type_othnon,1,NA,2015
13,taz,13,numhh_gq,11,NA,2015
13,taz,13,hh_size_1_gq,9,NA,2015
14,taz,14,TOTHH,188,NA,2015
14,taz,14,TOTPOP,271,NA,2015
14,taz,14,hh_size_1,134,NA,2015
14,taz,14,hh_size_2,47,NA,2015
14,taz,14,hh_size_3,7,NA,2015
14,taz,14,hh_size_4_plus,0,NA,2015
14,taz,14,hh_wrks_0,23,NA,2015
14,taz,14,hh_wrks_1,100,NA,2015
14,taz,14,hh_wrks_2,59,NA,2015
14,taz,14,hh_wrks_3_plus,6,NA,2015
14,taz,14,hh_kids_no,165,NA,2015
14,taz,14,hh_kids_yes,23,NA,2015
14,taz,14,HHINCQ1,19,NA,2015
14,taz,14,HHINCQ2,0,NA,2015
14,taz,14,HHINCQ3,60,NA,2015
14,taz,14,HHINCQ4,109,NA,2015
14,taz,14,AGE0004,0,NA,2015
14,taz,14,AGE0519,0,NA,2015
14,taz,14,AGE2044,153,NA,2015
14,taz,14,AGE4564,95,NA,2015
14,taz,14,AGE65P,23,NA,2015
14,taz,14,gq_tot_pop,12,NA,2015
14,taz,14,gq_type_univ,3,NA,2015
14,taz,14,gq_type_mil,0,NA,2015
14,taz,14,gq_type_othnon,9,NA,2015
14,taz,14,numhh_gq,200,NA,2015
14,taz,14,hh_size_1_gq,146,NA,2015
15,taz,15,TOTHH,260,NA,2015
15,taz,15,TOTPOP,374,NA,2015
15,taz,15,hh_size_1,185,NA,2015
15,taz,15,hh_size_2,65,NA,2015
15,taz,15,hh_size_3,10,NA,2015
15,taz,15,hh_size_4_plus,0,NA,2015
15,taz,15,hh_wrks_0,32,NA,2015
15,taz,15,hh_wrks_1,139,NA,2015
15,taz,15,hh_wrks_2,81,NA,2015
15,taz,15,hh_wrks_3_plus,8,NA,2015
15,taz,15,hh_kids_no,228,NA,2015
15,taz,15,hh_kids_yes,32,NA,2015
15,taz,15,HHINCQ1,26,NA,2015
15,taz,15,HHINCQ2,0,NA,2015
15,taz,15,HHINCQ3,82,NA,2015
15,taz,15,HHINCQ4,152,NA,2015
15,taz,15,AGE0004,0,NA,2015
15,taz,15,AGE0519,0,NA,2015
15,taz,15,AGE2044,210,NA,2015
15,taz,15,AGE4564,132,NA,2015
15,taz,15,AGE65P,32,NA,2015
15,taz,15,gq_tot_pop,16,NA,2015
15,taz,15,gq_type_univ,4,NA,2015
15,taz,15,gq_type_mil,0,NA,2015
15,taz,15,gq_type_othnon,12,NA,2015
15,taz,15,numhh_gq,276,NA,2015
15,taz,15,hh_size_1_gq,201,NA,2015
16,taz,16,TOTHH,2166,NA,2015
16,taz,16,TOTPOP,4450,NA,2015
16,taz,16,hh_size_1,694,NA,2015
16,taz,16,hh_size_2,990,NA,2015
16,taz,16,hh_size_3,364,NA,2015
16,taz,16,hh_size_4_plus,118,NA,2015
16,taz,16,hh_wrks_0,265,NA,2015
16,taz,16,hh_wrks_1,1160,NA,2015
16,taz,16,hh_wrks_2,677,NA,2015
16,taz,16,hh_wrks_3_plus,64,NA,2015
16,taz,16,hh_kids_no,1898,NA,2015
16,taz,16,hh_kids_yes,268,NA,2015
16,taz,16,HHINCQ1,187,NA,2015
16,taz,16,HHINCQ2,115,NA,2015
16,taz,16,HHINCQ3,430,NA,2015
16,taz,16,HHINCQ4,1434,NA,2015
16,taz,16,AGE0004,416,NA,2015
16,taz,16,AGE0519,142,NA,2015
16,taz,16,AGE2044,2633,NA,2015
16,taz,16,AGE4564,1106,NA,2015
16,taz,16,AGE65P,153,NA,2015
16,taz,16,gq_tot_pop,145,NA,2015
16,taz,16,gq_type_univ,33,NA,2015
16,taz,16,gq_type_mil,0,NA,2015
16,taz,16,gq_type_othnon,112,NA,2015
16,taz,16,numhh_gq,2311,NA,2015
16,taz,16,hh_size_1_gq,839,NA,2015
17,taz,17,TOTHH,4224,NA,2015
17,taz,17,TOTPOP,7547,NA,2015
17,taz,17,hh_size_1,2270,NA,2015
17,taz,17,hh_size_2,1344,NA,2015
17,taz,17,hh_size_3,342,NA,2015
17,taz,17,hh_size_4_plus,268,NA,2015
17,taz,17,hh_wrks_0,516,NA,2015
17,taz,17,hh_wrks_1,2261,NA,2015
17,taz,17,hh_wrks_2,1321,NA,2015
17,taz,17,hh_wrks_3_plus,126,NA,2015
17,taz,17,hh_kids_no,3702,NA,2015
17,taz,17,hh_kids_yes,522,NA,2015
17,taz,17,HHINCQ1,845,NA,2015
17,taz,17,HHINCQ2,534,NA,2015
17,taz,17,HHINCQ3,881,NA,2015
17,taz,17,HHINCQ4,1964,NA,2015
17,taz,17,AGE0004,198,NA,2015
17,taz,17,AGE0519,645,NA,2015
17,taz,17,AGE2044,4484,NA,2015
17,taz,17,AGE4564,1766,NA,2015
17,taz,17,AGE65P,454,NA,2015
17,taz,17,gq_tot_pop,275,NA,2015
17,taz,17,gq_type_univ,63,NA,2015
17,taz,17,gq_type_mil,0,NA,2015
17,taz,17,gq_type_othnon,212,NA,2015
17,taz,17,numhh_gq,4499,NA,2015
17,taz,17,hh_size_1_gq,2545,NA,2015
18,taz,18,TOTHH,863,NA,2015
18,taz,18,TOTPOP,1701,NA,2015
18,taz,18,hh_size_1,430,NA,2015
18,taz,18,hh_size_2,331,NA,2015
18,taz,18,hh_size_3,52,NA,2015
18,taz,18,hh_size_4_plus,50,NA,2015
18,taz,18,hh_wrks_0,83,NA,2015
18,taz,18,hh_wrks_1,426,NA,2015
18,taz,18,hh_wrks_2,315,NA,2015
18,taz,18,hh_wrks_3_plus,39,NA,2015
18,taz,18,hh_kids_no,803,NA,2015
18,taz,18,hh_kids_yes,60,NA,2015
18,taz,18,HHINCQ1,164,NA,2015
18,taz,18,HHINCQ2,101,NA,2015
18,taz,18,HHINCQ3,177,NA,2015
18,taz,18,HHINCQ4,421,NA,2015
18,taz,18,AGE0004,11,NA,2015
18,taz,18,AGE0519,82,NA,2015
18,taz,18,AGE2044,998,NA,2015
18,taz,18,AGE4564,516,NA,2015
18,taz,18,AGE65P,94,NA,2015
18,taz,18,gq_tot_pop,230,NA,2015
18,taz,18,gq_type_univ,0,NA,2015
18,taz,18,gq_type_mil,0,NA,2015
18,taz,18,gq_type_othnon,230,NA,2015
18,taz,18,numhh_gq,1093,NA,2015
18,taz,18,hh_size_1_gq,660,NA,2015
19,taz,19,TOTHH,336,NA,2015
19,taz,19,TOTPOP,852,NA,2015
19,taz,19,hh_size_1,129,NA,2015
19,taz,19,hh_size_2,179,NA,2015
19,taz,19,hh_size_3,16,NA,2015
19,taz,19,hh_size_4_plus,12,NA,2015
19,taz,19,hh_wrks_0,32,NA,2015
19,taz,19,hh_wrks_1,166,NA,2015
19,taz,19,hh_wrks_2,123,NA,2015
19,taz,19,hh_wrks_3_plus,15,NA,2015
19,taz,19,hh_kids_no,312,NA,2015
19,taz,19,hh_kids_yes,24,NA,2015
19,taz,19,HHINCQ1,64,NA,2015
19,taz,19,HHINCQ2,13,NA,2015
19,taz,19,HHINCQ3,49,NA,2015
19,taz,19,HHINCQ4,210,NA,2015
19,taz,19,AGE0004,32,NA,2015
19,taz,19,AGE0519,7,NA,2015
19,taz,19,AGE2044,471,NA,2015
19,taz,19,AGE4564,327,NA,2015
19,taz,19,AGE65P,15,NA,2015
19,taz,19,gq_tot_pop,250,NA,2015
19,taz,19,gq_type_univ,0,NA,2015
19,taz,19,gq_type_mil,0,NA,2015
19,taz,19,gq_type_othnon,250,NA,2015
19,taz,19,numhh_gq,586,NA,2015
19,taz,19,hh_size_1_gq,379,NA,2015
20,taz,20,TOTHH,1841,NA,2015
20,taz,20,TOTPOP,3923,NA,2015
20,taz,20,hh_size_1,790,NA,2015
20,taz,20,hh_size_2,747,NA,2015
20,taz,20,hh_size_3,150,NA,2015
20,taz,20,hh_size_4_plus,154,NA,2015
20,taz,20,hh_wrks_0,357,NA,2015
20,taz,20,hh_wrks_1,805,NA,2015
20,taz,20,hh_wrks_2,589,NA,2015
20,taz,20,hh_wrks_3_plus,90,NA,2015
20,taz,20,hh_kids_no,1638,NA,2015
20,taz,20,hh_kids_yes,203,NA,2015
20,taz,20,HHINCQ1,684,NA,2015
20,taz,20,HHINCQ2,327,NA,2015
20,taz,20,HHINCQ3,333,NA,2015
20,taz,20,HHINCQ4,497,NA,2015
20,taz,20,AGE0004,135,NA,2015
20,taz,20,AGE0519,283,NA,2015
20,taz,20,AGE2044,2095,NA,2015
20,taz,20,AGE4564,1121,NA,2015
20,taz,20,AGE65P,289,NA,2015
20,taz,20,gq_tot_pop,266,NA,2015
20,taz,20,gq_type_univ,0,NA,2015
20,taz,20,gq_type_mil,0,NA,2015
20,taz,20,gq_type_othnon,266,NA,2015
20,taz,20,numhh_gq,2107,NA,2015
20,taz,20,hh_size_1_gq,1056,NA,2015
21,taz,21,TOTHH,2844,NA,2015
